country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score_weight_kg,is_anomaly_weight_kg,zscore_weight_kg,is_significant_weight_kg,metric
CHINA,6309,Textiles; worn clothing and other worn articles,2326837.32,2326837.32,17978331.9,-87.05754608969033,0.5776512180279284,195.0,195.0,1504.0,-87.03457446808511,1.7104512959957896,76,76,550.0,-86.18181818181819,1.5507039379718426,98,98,747.0,-86.88085676037483,1.4036092810083072,0,0,0.0,0.0,0.0,-0.5546053159790353,-1,0.25456198922196394,False,weight_kg
NETHERLANDS,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2251000.76,2251000.76,15937232.069999998,-85.87583621727357,0.5588243404982831,118.0,118.0,868.5,-86.4133563615429,1.0350423227051444,10,10,99.0,-89.8989898989899,0.2040399918384003,113,113,796.0,-85.80402010050251,1.6184474362646806,0,0,0.0,0.0,0.0,-0.5451608299569648,-1,0.24418018207226463,False,weight_kg
JAPAN,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",26190.0,26190.0,8490.0,208.48056537102477,0.0065018234279272,2.0,2.0,6.0,-66.66666666666667,0.0175430902153414,1,1,1.0,0.0,0.02040399918384,1,1,3.0,-66.66666666666667,0.0143225436837582,0,0,0.0,0.0,0.0,-0.5427484429536439,-1,2.3418618455866174,False,weight_kg
PERU,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",2206710.01,2206710.01,12257850.16,-81.99757721626449,0.5478288981160583,83.0,83.0,458.0,-81.87772925764192,0.7280382439366695,13,13,78.0,-83.33333333333333,0.2652519893899204,83,83,458.0,-81.87772925764192,1.1887711257519336,0,0,0.0,0.0,0.0,-0.5388580845450173,-1,0.21010808200364312,False,weight_kg
PANAMA,7311,"Containers for compressed or liquefied gas, of iron or steel",56253.0,56253.0,20850.0,169.79856115107913,0.0139651421646121,6.0,6.0,2.0,200.0,0.0526292706460242,1,1,1.0,0.0,0.02040399918384,3,3,1.0,200.0,0.0429676310512747,0,0,0.0,0.0,0.0,-0.5324542564839708,-1,2.002024532427825,False,weight_kg
BELGIUM,1107,Malt; whether or not roasted,1890382.68,1890382.68,8266332.37,-77.13154280052255,0.4692987551192018,150.0,150.0,670.0,-77.61194029850746,1.3157317661506074,8,8,38.0,-78.94736842105263,0.1632319934707202,75,75,318.0,-76.41509433962264,1.0741907762818677,0,0,0.0,0.0,0.0,-0.5320462030192973,-1,0.16735796874215725,False,weight_kg
USA,8702,Vehicles; public transport passenger type,2098745.52,2098745.52,8559486.719999999,-75.48047460490714,0.5210260706832132,2.0,2.0,110.0,-98.1818181818182,0.0175430902153414,204,204,804.0,-74.6268656716418,4.162415833503367,1,1,53.0,-98.1132075471698,0.0143225436837582,203,203,751.0,-72.9693741677763,13.17326411421155,-0.5308563429975236,-1,0.15285265572245188,False,weight_kg
CHINA,7326,"Iron or steel; articles, n.e.c. in chapter 73",1768748.95,1768748.95,11248647.849999998,-84.27589721372601,0.4391024574735288,102.0,102.0,526.0,-80.6083650190114,0.894697600982413,11,11,82.0,-86.58536585365853,0.2244439910222403,57,57,414.0,-86.23188405797102,0.8163849899742194,1,1,0.0,100.0,0.0648929266709928,-0.5299076418910957,-1,0.23012406002926047,False,weight_kg
VIETNAM,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",1536648.0,1536648.0,3330999.06,-53.86825476918627,0.3814820147719567,58.0,58.0,128.0,-54.6875,0.5087496162449016,6,6,11.0,-45.45454545454545,0.1224239951030402,58,58,128.0,-54.6875,0.8307075336579777,0,0,0.0,0.0,0.0,-0.52475214671682,-1,0.0370195825050959,False,weight_kg
INDIA,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",3912.08,3912.08,1597.5,144.88763693270735,0.000971197151429,1.0,1.0,1.0,0.0,0.0087715451076707,1,1,1.0,0.0,0.02040399918384,1,1,1.0,0.0,0.0143225436837582,0,0,0.0,0.0,0.0,-0.5235928342395367,-1,1.7831718197674873,False,weight_kg
CHINA,4820,"Registers, account books, diaries and similar; albums for samples or collections, of paper or paperboard",1392286.38,1392286.38,2406665.96,-42.14874838716712,0.34564338311829,98.0,98.0,174.0,-43.67816091954023,0.8596114205517302,6,6,16.0,-62.5,0.1224239951030402,49,49,87.0,-43.67816091954023,0.7018046405041536,0,0,0.0,0.0,0.0,-0.5153035188048432,-1,0.13998026514622663,False,weight_kg
FRANCE,8536,"Electrical apparatus for switching, protecting electrical circuits, for making connections to or in electrical circuits, for a voltage not exceeding 1000 volts; connectors for optical fibres, optical ",13551.46,13551.46,5328.92,154.30030850528811,0.0033642306265986,4.25,4.25,2.25,88.88888888888889,0.0372790667076005,2,2,1.0,100.0,0.04080799836768,3,3,1.0,200.0,0.0429676310512747,0,0,0.0,0.0,0.0,-0.5118877302769071,-1,1.8658660100344588,False,weight_kg
ITALY,4819,"Cartons, boxes, cases, bags and the like, of paper, paperboard, cellulose wadding or fibres; box files, letter trays and the like, of paper or paperboard, of a kind used in offices, shops or the like",14903.0,14903.0,5850.0,154.75213675213675,0.0036997584782894,4.0,4.0,2.0,100.0,0.0350861804306828,1,1,1.0,0.0,0.02040399918384,4,4,1.0,300.0,0.0572901747350329,0,0,0.0,0.0,0.0,-0.5113052623700284,-1,1.8698355069753416,False,weight_kg
CHINA,8455,Metal-rolling mills and rolls therefor,1013082.0,1013082.0,1318497.98,-23.1639323406472,0.2515036381065823,0.0,0.0,48.0,-100.0,0.0,2,2,11.0,-81.81818181818181,0.04080799836768,0,0,48.0,-100.0,0.0,2,2,0.0,200.0,0.1297858533419857,-0.5100227948254802,-1,0.30676968069405197,False,weight_kg
BRAZIL,203,"Meat of swine; fresh, chilled or frozen",1509104.04,1509104.04,7819873.369999999,-80.70168187390993,0.3746440627129307,125.25,125.25,664.75,-81.15833019932306,1.0986360247357572,62,62,310.0,-80.0,1.265047949398082,62,62,311.0,-80.06430868167203,0.8879977083930106,0,0,0.0,0.0,0.0,-0.5050904760911673,-1,0.19872310854733796,False,weight_kg
CHINA,7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",1040742.0,1040742.0,1501756.26,-30.698341154242964,0.2583703977864779,0.0,0.0,58.0,-100.0,0.0,1,1,14.0,-92.85714285714286,0.02040399918384,0,0,55.0,-100.0,0.0,1,1,0.0,100.0,0.0648929266709928,-0.5050181330079652,-1,0.24057680110866467,False,weight_kg
INDIA,2203,Beer made from malt,1481629.12,1481629.12,10809261.84,-86.29296669901005,0.3678232502449496,108.0,108.0,825.0,-86.9090909090909,0.9473268716284372,13,13,154.0,-91.55844155844156,0.2652519893899204,54,54,398.0,-86.4321608040201,0.7734173589229447,0,0,0.0,0.0,0.0,-0.5012085955394672,-1,0.2478448448788744,False,weight_kg
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,1415240.25,1415240.25,7169825.95,-80.26116310396628,0.3513418180067054,116.0,116.0,586.0,-80.20477815699658,1.0174992324898031,43,43,203.0,-78.81773399014779,0.8773719649051214,58,58,301.0,-80.73089700996678,0.8307075336579777,0,0,0.0,0.0,0.0,-0.49767520688316935,-1,0.194852970011536,False,weight_kg
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",1411593.45,1411593.45,9816810.16,-85.620650425209,0.3504364781946792,100.0,100.0,741.5,-86.51382333108563,0.8771545107670716,50,50,347.0,-85.5907780979827,1.0201999591920017,50,50,348.0,-85.63218390804597,0.7161271841879118,0,0,0.0,0.0,0.0,-0.4957317720663843,-1,0.2419382699562734,False,weight_kg
EGYPT,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",651585.0,651585.0,815760.05,-20.12540942646064,0.1617598556046573,25.0,25.0,44.0,-43.18181818181818,0.2192886276917679,2,2,4.0,-50.0,0.04080799836768,25,25,31.0,-19.35483870967742,0.3580635920939559,0,0,0.0,0.0,0.0,-0.49329181217238866,-1,0.3334643539394506,False,weight_kg
USA,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm",933290.0,933290.0,26423101.860000003,-96.467901441152,0.2316947990473547,30.0,30.0,109.5,-72.6027397260274,0.2631463532301215,9,9,47.0,-80.85106382978724,0.1836359926545603,15,15,45.0,-66.66666666666667,0.2148381552563735,3,3,30.0,-90.0,0.1946787800129786,-0.4834997850370706,-1,0.33723583053397144,False,weight_kg
PANAMA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",1178320.0,1178320.0,4011300.0,-70.62498441901629,0.2925249553873705,47.0,47.0,180.0,-73.88888888888889,0.4122626200605236,4,4,15.0,-73.33333333333333,0.0816159967353601,47,47,160.0,-70.625,0.6731595531366371,0,0,0.0,0.0,0.0,-0.47961278995770273,-1,0.11019517785600769,False,weight_kg
