country,metric,current_value,prior_value,yoy_pct,share_current,share_prior,share_change_pp
IRELAND,shipment,4.0,2.0,100.0,0.08,0.07,0.01
NORWAY,shipment,6.0,4.0,50.0,0.12,0.13,-0.01
PUERTO RICO,shipment,1.0,1.0,0.0,0.02,0.03,-0.01
SENEGAL,shipment,3.0,2.0,50.0,0.06,0.07,-0.01
BANGLADESH,container,1.0,0.0,0.0,0.01,0.0,0.01
CAMBODIA,container,1.0,0.0,0.0,0.01,0.0,0.01
ECUADOR,container,1.0,0.0,0.0,0.01,0.0,0.01
ESTONIA,container,1.0,0.0,0.0,0.01,0.0,0.01
GHANA,container,1.0,0.0,0.0,0.01,0.0,0.01
JAMAICA,container,1.0,0.0,0.0,0.01,0.0,0.01
LEBANON,container,1.0,0.0,0.0,0.01,0.0,0.01
NETHERLAND ANTILLES,container,1.0,0.0,0.0,0.01,0.0,0.01
PORTUGAL,container,1.0,0.0,0.0,0.01,0.0,0.01
PUERTO RICO,container,1.0,1.0,0.0,0.01,0.02,-0.01
SAUDI ARABIA,container,1.0,0.0,0.0,0.01,0.0,0.01
SLOVENIA,container,1.0,0.0,0.0,0.01,0.0,0.01
TOGO,container,1.0,0.0,0.0,0.01,0.0,0.01
BANGLADESH,weight_kg,19520.0,0.0,0.0,0.0,0.0,0.0
CAMBODIA,weight_kg,13436.0,0.0,0.0,0.0,0.0,0.0
JAMAICA,weight_kg,9707.28,0.0,0.0,0.0,0.0,0.0
LATVIA,weight_kg,4620.0,0.0,0.0,0.0,0.0,0.0
NORWAY,weight_kg,164629.0,107952.0,52.5,0.04,0.04,0.0
PUERTO RICO,weight_kg,15241.0,5162.0,195.25,0.0,0.0,0.0
QATAR,weight_kg,3500.0,0.0,0.0,0.0,0.0,0.0
SINGAPORE,weight_kg,10205.0,0.0,0.0,0.0,0.0,0.0
NORWAY,teu,12.0,8.5,41.18,0.11,0.11,0.0
POLAND,teu,36.0,24.75,45.45,0.32,0.32,0.0
US VIRGIN ISLANDS,teu,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN,container,14.0,9.0,55.56,0.2,0.2,0.0
NORWAY,container,6.0,4.0,50.0,0.09,0.09,0.0
US VIRGIN ISLANDS,container,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
BANGLADESH,vrac,0.0,0.0,0.0,0.0,0.0,0.0
BELGIUM,vrac,0.0,0.0,0.0,0.0,0.0,0.0
CAMBODIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
CANADA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
CHILE,vrac,0.0,0.0,0.0,0.0,0.0,0.0
COLOMBIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
COSTA RICA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
DENMARK,vrac,0.0,0.0,0.0,0.0,0.0,0.0
ECUADOR,vrac,0.0,0.0,0.0,0.0,0.0,0.0
ESTONIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE,vrac,0.0,0.0,0.0,0.0,0.0,0.0
GHANA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
GUADELOUPE,vrac,0.0,0.0,0.0,0.0,0.0,0.0
HAITI,vrac,0.0,0.0,0.0,0.0,0.0,0.0
HONDURAS,vrac,0.0,0.0,0.0,0.0,0.0,0.0
HONG KONG,vrac,0.0,0.0,0.0,0.0,0.0,0.0
INDIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
IRELAND,vrac,0.0,0.0,0.0,0.0,0.0,0.0
ISRAEL,vrac,0.0,0.0,0.0,0.0,0.0,0.0
ITALY,vrac,0.0,0.0,0.0,0.0,0.0,0.0
JAMAICA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN,vrac,0.0,0.0,0.0,0.0,0.0,0.0
LATVIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
LEBANON,vrac,0.0,0.0,0.0,0.0,0.0,0.0
MALAYSIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
MEXICO,vrac,0.0,0.0,0.0,0.0,0.0,0.0
MOROCCO,vrac,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS,vrac,0.0,0.0,0.0,0.0,0.0,0.0
NORWAY,vrac,0.0,0.0,0.0,0.0,0.0,0.0
OMAN,vrac,0.0,0.0,0.0,0.0,0.0,0.0
PANAMA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
PERU,vrac,0.0,0.0,0.0,0.0,0.0,0.0
POLAND,vrac,0.0,0.0,0.0,0.0,0.0,0.0
PORTUGAL,vrac,0.0,0.0,0.0,0.0,0.0,0.0
PUERTO RICO,vrac,0.0,0.0,0.0,0.0,0.0,0.0
QATAR,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SAUDI ARABIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SENEGAL,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SINGAPORE,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SLOVENIA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH AFRICA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SPAIN,vrac,0.0,0.0,0.0,0.0,0.0,0.0
SURINAME,vrac,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,vrac,0.0,0.0,0.0,0.0,0.0,0.0
THAILAND,vrac,0.0,0.0,0.0,0.0,0.0,0.0
TOGO,vrac,0.0,0.0,0.0,0.0,0.0,0.0
TRINIDAD AND TOBAGO,vrac,0.0,0.0,0.0,0.0,0.0,0.0
UNITED ARAB EMIRATES,vrac,0.0,0.0,0.0,0.0,0.0,0.0
UNITED KINGDOM,vrac,0.0,0.0,0.0,0.0,0.0,0.0
VIETNAM,vrac,0.0,0.0,0.0,0.0,0.0,0.0
