hs_chapter,ytd_value,ytd_value_teu,ytd_value_shipment,ytd_value_container,ytd_value_vrac,prev_year_value,prev_year_value_teu,prev_year_value_shipment,prev_year_value_container,prev_year_value_vrac,yoy_change_pct,share_of_total,yoy_change_pct_teu,share_of_total_teu,yoy_change_pct_shipment,share_of_total_shipment,yoy_change_pct_container,share_of_total_container,yoy_change_pct_vrac,share_of_total_vrac
76,290622.97000000003,26.0,5,13,0,1562834.95,139.0,39.0,72.0,0.0,-81.40411628240078,0.07214888259029391,-81.29496402877697,0.22806017279943863,-87.17948717948718,0.10201999591920016,-81.94444444444444,0.18619306788885706,0.0,0.0
62,220104.0,20.0,10,11,0,1609285.8099999998,162.0,86.0,81.0,5.0,-86.32287697857721,0.054642128437590635,-87.65432098765432,0.17543090215341434,-88.37209302325581,0.20403999183840033,-86.41975308641975,0.15754798052134059,-100.0,0.0
82,211312.6,23.0,6,12,0,2175153.5,220.0,87.0,117.0,5.0,-90.28516378269396,0.052459611046056474,-89.54545454545455,0.20174553747642648,-93.10344827586206,0.1224239951030402,-89.74358974358974,0.17187052420509882,-100.0,0.0
35,161410.8,18.0,9,9,1,1539352.67,182.0,73.0,96.0,2.0,-89.51437164818118,0.040071192094710925,-90.10989010989012,0.1578878119380729,-87.67123287671232,0.1836359926545603,-90.625,0.1289028931538241,-50.0,0.06489292667099286
90,137312.4,24.0,12,13,3,789393.55,123.25,139.0,71.0,90.0,-82.60533038305164,0.03408862081958447,-80.52738336713996,0.21051708258409718,-91.36690647482014,0.2448479902060804,-81.69014084507042,0.18619306788885706,-96.66666666666667,0.1946787800129786
42,130138.0,16.0,8,8,0,1139432.3599999999,144.0,69.0,72.0,4.0,-88.57869895848842,0.03230753330521558,-88.88888888888889,0.14034472172273146,-88.40579710144928,0.16323199347072026,-88.88888888888889,0.11458034947006589,-100.0,0.0
83,88891.0,9.0,5,5,0,594357.45,76.25,43.0,44.0,4.0,-85.044185111165,0.022067719982126036,-88.19672131147541,0.07894390596903644,-88.37209302325581,0.10201999591920016,-88.63636363636364,0.07161271841879117,-100.0,0.0
36,85865.84,10.0,2,5,0,1151569.12,136.0,43.0,63.0,0.0,-92.54357914703374,0.021316706001170388,-92.6470588235294,0.08771545107670717,-95.34883720930233,0.040807998367680065,-92.06349206349206,0.07161271841879117,0.0,0.0
67,78568.98,8.0,4,4,0,3986612.65,307.25,152.0,153.0,1.0,-98.02917948399126,0.019505217062708944,-97.39625711960944,0.07017236086136573,-97.36842105263158,0.08161599673536013,-97.38562091503267,0.057290174735032943,-100.0,0.0
24,73744.6,10.0,3,5,0,1163185.62,137.0,34.0,71.0,1.0,-93.6601176345354,0.018307536004701173,-92.7007299270073,0.08771545107670717,-91.17647058823529,0.0612119975515201,-92.95774647887323,0.07161271841879117,-100.0,0.0
49,72276.1,9.0,18,8,13,1135257.69,123.25,251.0,84.0,210.0,-93.63350712030851,0.017942972136663328,-92.69776876267748,0.07894390596903644,-92.82868525896414,0.3672719853091206,-90.47619047619048,0.11458034947006589,-93.80952380952381,0.8436080467229072
61,67227.2,6.0,3,3,0,2192059.13,202.0,89.0,102.0,1.0,-96.93314842287123,0.016689552651926332,-97.02970297029702,0.052629270646024295,-96.62921348314607,0.0612119975515201,-97.05882352941177,0.042967631051274706,-100.0,0.0
95,61380.0,4.0,2,3,0,292893.43,52.0,30.0,31.0,7.0,-79.04357226449224,0.015237950439334647,-92.3076923076923,0.035086180430682866,-93.33333333333333,0.040807998367680065,-90.3225806451613,0.042967631051274706,-100.0,0.0
09,60066.0,6.0,2,3,0,655567.8,66.0,26.0,34.0,0.0,-90.83756096623416,0.014911742116146544,-90.9090909090909,0.052629270646024295,-92.3076923076923,0.040807998367680065,-91.17647058823529,0.042967631051274706,0.0,0.0
81,56290.0,2.0,1,2,0,83561.0,4.0,4.0,3.0,1.0,-32.63603834324625,0.01397432763489976,-50.0,0.017543090215341433,-75.0,0.020403999183840033,-33.333333333333336,0.028645087367516472,-100.0,0.0
13,47448.0,4.0,3,3,0,44107.0,4.0,3.0,3.0,0.0,7.5747613757453465,0.01177924849210737,0.0,0.035086180430682866,0.0,0.0612119975515201,0.0,0.042967631051274706,0.0,0.0
12,45401.729999999996,7.0,3,4,0,418252.98,41.25,22.0,24.0,2.0,-89.14491177086174,0.01127124978168871,-83.03030303030303,0.061400815753695014,-86.36363636363636,0.0612119975515201,-83.33333333333333,0.057290174735032943,-100.0,0.0
23,40811.83,3.0,2,2,0,807381.8300000001,67.75,36.0,34.0,3.0,-94.94516367800847,0.010131779779709204,-95.5719557195572,0.026314635323012148,-94.44444444444444,0.040807998367680065,-94.11764705882354,0.028645087367516472,-100.0,0.0
88,40586.98,0.0,1,0,1,2149.0,0.0,10.0,0.0,14.0,1788.6449511400654,0.010075959428515259,0.0,0.0,-90.0,0.020403999183840033,0.0,0.0,-92.85714285714286,0.06489292667099286
54,26460.0,2.0,1,1,0,1098863.81,110.0,33.0,53.0,0.0,-97.59205829155479,0.006568852535431651,-98.18181818181819,0.017543090215341433,-96.96969696969697,0.020403999183840033,-98.11320754716981,0.014322543683758236,0.0,0.0
57,25578.0,2.0,1,1,0,0.0,0.0,0.0,0.0,0.0,2557800.0,0.006349890784250596,200.0,0.017543090215341433,100.0,0.020403999183840033,100.0,0.014322543683758236,0.0,0.0
45,16194.0,3.0,2,2,0,40521.0,9.25,8.0,8.0,0.0,-60.03553712889613,0.004020256914541956,-67.56756756756756,0.026314635323012148,-75.0,0.040807998367680065,-75.0,0.028645087367516472,0.0,0.0
89,4536.0,0.0,1,0,1,26679.79,4.0,9.0,3.0,7.0,-82.99836692867522,0.0011260890060739975,-100.0,0.0,-88.88888888888889,0.020403999183840033,-100.0,0.0,-85.71428571428571,0.06489292667099286
97,1591.0,0.0,9,0,9,11227.0,0.0,65.0,0.0,65.0,-85.82880555802976,0.0003949752223685471,0.0,0.0,-86.15384615384616,0.1836359926545603,0.0,0.0,-86.15384615384616,0.5840363400389358
86,0.0,60.0,1,30,0,237701.13,244.0,8.0,125.0,0.0,-100.0,0.0,-75.40983606557377,0.526292706460243,-87.5,0.020403999183840033,-76.0,0.4296763105127471,0.0,0.0
