Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
SAVANNAH - GA,12038930.540000001,11674191.67,3.124317985435312,0.2942294458649751,1020.0,1009.5,1.040118870728083,1.0051637825692774,294,302.0,-2.6490066225165565,0.6770761365206577,479,458.0,4.585152838427948,0.8152081418700432,4,0.0,0.0,0.03205385046878756,USA
MANZANILLO - PA,11934571.88,4923718.47,142.38940452661586,0.2916789376947526,1186.25,675.25,75.67567567567568,1.168995624581182,461,312.0,47.756410256410255,1.061673805904841,686,342.0,100.58479532163742,1.1675005956635693,17,11.0,54.54545454545454,0.13622886449234714,PANAMA
KOLKATA,11149645.85,12526232.469999999,-10.98963014854537,0.2724954769974293,536.0,547.0,-2.010968921389397,0.5282037131932674,49,54.0,-9.25925925925926,0.11284602275344296,429,482.0,-10.995850622406639,0.7301133462677423,0,0.0,0.0,0.0,INDIA
PASIR GUDANG,11048168.7,524563.36,2006.1647729265726,0.27001539244895106,112.0,26.0,330.7692307692308,0.11037092514486185,43,12.0,258.33333333333337,0.09902814241628667,106,24.0,341.66666666666663,0.18040096667687805,12,0.0,0.0,0.09616155140636269,MALAYSIA
KAOHSIUNG,10888272.8,11239033.22,-3.1209127434183337,0.2661075634356705,637.0,738.0,-13.685636856368562,0.6277346367614017,69,55.0,25.454545454545453,0.15890562387729723,593,575.0,3.130434782608696,1.0092242758432894,0,0.0,0.0,0.0,TAIWAN
JAKARTA,10449099.870000001,8885920.99,17.5916360471713,0.25537425058836527,568.0,501.5,13.260219341974079,0.5597382632346565,119,125.0,-4.8,0.2740546266869329,420,399.0,5.263157894736842,0.7147962830593281,0,0.0,0.0,0.0,INDONESIA
SUAPE,10091864.33,1256854.21,702.9462963727512,0.24664347382806714,42.5,75.5,-43.70860927152318,0.04188182427371989,27,34.0,-20.588235294117645,0.06218046151720326,32,46.0,-30.434782608695656,0.05446066918547262,11,0.0,0.0,0.0881480887891658,BRAZIL
KUALA TANJUNG,9999422.0,8498844.0,17.6562600748996,0.2443841987670477,0.0,0.0,0.0,0.0,12,11.0,9.090909090909092,0.02763576067431256,0,0.0,0.0,0.0,12,11.0,9.090909090909092,0.09616155140636269,INDONESIA
ITAJAI,9987378.94,1431227.57,597.8190714981824,0.244089868397872,782.75,106.0,638.4433962264151,0.7713646576530411,369,48.0,668.75,0.8497996407351112,379,53.0,615.0943396226415,0.6450185506654412,0,0.0,0.0,0.0,BRAZIL
HONG KONG,9068396.61,495020.55,1731.923262579705,0.22163009418310992,39.0,58.5,-33.33333333333333,0.038432732862942964,24,27.0,-11.11111111111111,0.05527152134862512,20,29.0,-31.03448275862069,0.03403791824092039,4,0.0,0.0,0.03205385046878756,HONG KONG
HAZIRA,8712536.23,11628389.16,-25.075295381669182,0.21293292610287118,406.0,545.5,-25.572868927589365,0.4000946036501241,76,71.0,7.042253521126761,0.1750264842706462,368,491.0,-25.050916496945007,0.626297695632935,0,0.0,0.0,0.0,INDIA
SANTO THOMAS,8466791.8,2943662.76,187.6277783940169,0.20692697339610328,241.5,226.25,6.740331491712707,0.23798730734360835,60,44.0,36.36363636363637,0.1381788033715628,179,136.0,31.61764705882353,0.30463936825623744,6,0.0,0.0,0.048080775703181346,GUATEMALA
NORFOLK - VA,7347378.92,4118223.7800000003,78.41135675244922,0.17956871011165407,614.75,341.75,79.88295537673739,0.6058082699357483,192,121.0,58.67768595041323,0.44217217078900095,297,169.0,75.7396449704142,0.5054630858776678,0,0.0,0.0,0.0,USA
HAIPHONG,7019382.72,10085429.18,-30.400753456086438,0.17155253792333797,556.0,602.0,-7.641196013289036,0.5479128069691356,120,133.0,-9.774436090225564,0.2763576067431256,346,439.0,-21.184510250569478,0.5888559855679227,0,0.0,0.0,0.0,VIETNAM
CORINTO,6872622.8,43596011.0,-84.23566137736776,0.16796575006096792,32.0,135.0,-76.29629629629629,0.031534550041389095,16,52.0,-69.23076923076923,0.03684768089908341,32,100.0,-68.0,0.05446066918547262,7,43.0,-83.72093023255815,0.056094238320378235,NICARAGUA
HALDIA,5303640.4,283834.0,1768.5712071140174,0.1296200830110525,216.0,11.0,1863.6363636363637,0.21285821277937642,25,2.0,1150.0,0.05757450140481783,204,11.0,1754.5454545454547,0.34718676605738796,0,0.0,0.0,0.0,INDIA
PORT KLANG,5250187.59,6627240.93,-20.778682328665543,0.12831370528805036,308.0,340.0,-9.411764705882353,0.3035200441483701,79,90.0,-12.222222222222221,0.18193542443922436,222,296.0,-25.0,0.3778208924742163,0,0.0,0.0,0.0,MALAYSIA
