country,hs_code,hs_description,metric,current_value,prior_value,yoy_pct,abs_delta,is_ath
USA,8502,Electric generating sets and rotary converters,weight_kg,295369.62999999995,2644743.97,-88.83,2349374.3400000003,False
PANAMA,9999,Commodities not specified according to kind,weight_kg,4868052.899999999,2557024.04,90.38,2311028.8599999994,True
CHINA,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the",weight_kg,2918614.68,633472.23,360.73,2285142.45,True
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these product",weight_kg,9816810.16,7572649.119999999,29.64,2244161.040000001,False
USA,2815,Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash) peroxides of sodium or potassi,weight_kg,1823368.0,4052305.1799999997,-55.0,2228937.1799999997,False
BRAZIL,0203,"Meat of swine; fresh, chilled or frozen",weight_kg,7819873.370000001,10008527.72,-21.87,2188654.3499999996,False
INDONESIA,1517,Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of di,weight_kg,1570819.85,3661432.44,-57.1,2090612.5899999999,False
INDIA,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liq",weight_kg,2593780.2500000005,558533.47,364.39,2035246.7800000005,False
HONG KONG,2833,Sulphates; alums; peroxosulphates (persulphates),weight_kg,2034400.0,0.0,0.0,2034400.0,True
CHINA,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces",weight_kg,6212972.35,8240994.199999999,-24.61,2028021.8499999996,False
FRANCE,1107,Malt; whether or not roasted,weight_kg,8576.0,2032087.5,-99.58,2023511.5,False
CHINA,2833,Sulphates; alums; peroxosulphates (persulphates),weight_kg,324648.0,2328690.0,-86.06,2004042.0,False
CHINA,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",weight_kg,12638927.98,10654657.0,18.62,1984270.9800000004,True
NETHERLANDS,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,weight_kg,15937232.069999997,14065653.76,13.31,1871578.3099999968,False
CHINA,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in",weight_kg,4372928.45,2547504.27,71.66,1825424.1800000002,True
CHINA,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of an",weight_kg,6696187.65,4883315.0200000005,37.12,1812872.63,True
CHINA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite ",weight_kg,3263064.47,1471478.05,121.75,1791586.4200000002,False
BELGIUM,6309,Textiles; worn clothing and other worn articles,weight_kg,3273795.0,1499160.6400000001,118.38,1774634.3599999999,True
SOUTH KOREA,0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",weight_kg,397749.0,2164911.0,-81.63,1767162.0,False
CHINA,7311,"Containers for compressed or liquefied gas, of iron or steel",weight_kg,2341068.55,612051.95,282.5,1729016.5999999999,True
BRAZIL,4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic s",weight_kg,2600842.6,911635.2,185.29,1689207.4000000001,True
CHINA,0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",weight_kg,3168395.5,1553883.0,103.9,1614512.5,True
