country_origin,hs_code,hs_description,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac
INDONESIA,1516,"Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",11751612.45,11751612.45,14601366.0,-19.51703388573371,0.28720743987143577,24.0,24.0,10.75,123.25581395348837,0.02365091253104182,20,20,23.0,-13.043478260869565,0.046059601123854266,12,12,7.0,71.42857142857143,0.02042275094455223,17,17,19.0,-10.526315789473685,0.13622886449234714
USA,3901,"Polymers of ethylene, in primary forms",11320812.73,11320812.73,10992382.850000001,2.9877951348828695,0.27667876687400966,906.0,906.0,898.5,0.8347245409015025,0.8928219480468288,180,180,167.0,7.7844311377245505,0.4145364101146884,457,457,443.0,3.160270880361174,0.7777664318050308,0,0,0.0,0.0,0.0
CHINA,7326,"Iron or steel; articles, n.e.c. in chapter 73",11248647.849999998,11248647.849999998,3684107.93,205.328944312443,0.2749150692944975,526.0,526.0,201.0,161.6915422885572,0.5183491663053332,82,82,36.0,127.77777777777777,0.1888443646078025,414,414,134.0,208.955223880597,0.704584907587052,0,0,0.0,0.0,0.0
CHINA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,11039341.0,11039341.0,10161931.3,8.634280965863242,0.26979964493959935,568.0,568.0,553.5,2.6196928635953025,0.5597382632346565,166,166,167.0,-0.5988023952095808,0.38229468932799043,494,494,447.0,10.51454138702461,0.8407365805507335,0,0,0.0,0.0,0.0
TURKEY,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",11029990.03,11029990.03,618880.03,1682.2501123521467,0.26957110879909596,30.0,30.0,34.0,-11.764705882352942,0.02956364066380228,10,10,3.0,233.33333333333334,0.023029800561927133,23,23,23.0,0.0,0.039143605977058446,6,6,0.0,600.0,0.048080775703181346
INDIA,2203,Beer made from malt,10809261.84,10809261.84,8336749.27,29.657993660639388,0.2641765488076834,825.0,825.0,651.5,26.630851880276285,0.8130001182545626,154,154,69.0,123.18840579710145,0.3546589286536779,398,398,303.0,31.353135313531354,0.6773545729943157,0,0,0.0,0.0,0.0
DOMINICAN REPUBLIC,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents",10682074.160000002,10682074.160000002,65988806.5,-83.81229374106046,0.2610681032125441,155.0,155.0,166.0,-6.626506024096385,0.15274547676297845,39,39,45.0,-13.333333333333334,0.08981622219151582,79,79,83.0,-4.819277108433735,0.13444977705163552,4,4,11.0,-63.63636363636363,0.032053850468787566
MALAYSIA,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",10009193.719999999,10009193.719999999,14659678.2,-31.72296428716969,0.24462301796707497,128.0,128.0,17.0,652.9411764705883,0.12613820016555638,34,34,22.0,54.54545454545455,0.07830132191055225,128,128,17.0,652.9411764705883,0.21784267674189048,9,9,17.0,-47.05882352941177,0.07212116355477202
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",9816810.16,9816810.16,7572649.119999999,29.635085482476455,0.23992119598510922,741.5,741.5,669.75,10.712952594251586,0.730714651740313,347,347,270.0,28.51851851851852,0.7991340794988715,348,348,270.0,28.88888888888889,0.5922597773920147,0,0,0.0,0.0,0.0
TAIWAN,2106,Food preparations not elsewhere specified or included,9753563.52,9753563.52,9716848.5,0.3778490526017726,0.2383754586973832,528.0,528.0,609.0,-13.300492610837438,0.52032007568292,16,16,17.0,-5.882352941176471,0.03684768089908341,528,528,484.0,9.090909090909092,0.8986010415602982,0,0,0.0,0.0,0.0
