Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
HUTCHISON PORTS SOHAR,88839.8,205590.69,-56.78802381566987,0.021177794189666,8.0,18.25,-56.16438356164384,0.0690876117276221,1,5.0,-80.0,0.020128824476650563,4,9.0,-55.55555555555556,0.05649717514124294,0,0.0,0.0,0.0,OMAN
SEATTLE - WA,87025.12,100992.13,-13.829800401278803,0.02074520744858708,10.0,20.0,-50.0,0.08635951465952761,4,10.0,-60.0,0.08051529790660225,5,10.0,-50.0,0.07062146892655367,0,0.0,0.0,0.0,USA
NANJING,86376.0,492177.51,-82.45023426608826,0.02059046903444842,17.0,116.0,-85.34482758620689,0.14681117492119694,5,24.0,-79.16666666666666,0.10064412238325281,9,58.0,-84.48275862068965,0.1271186440677966,0,0.0,0.0,0.0,CHINA
BREMERHAVEN,83754.0,989258.59,-91.53365956620098,0.01996543187356665,6.0,77.0,-92.20779220779221,0.051815708795716564,3,37.0,-91.8918918918919,0.06038647342995169,3,41.0,-92.6829268292683,0.0423728813559322,0,0.0,0.0,0.0,GERMANY
GENOA,80700.0,322842.31,-75.00327636733859,0.019237413761692915,8.0,42.5,-81.17647058823529,0.0690876117276221,2,19.0,-89.47368421052632,0.040257648953301126,4,23.0,-82.6086956521739,0.05649717514124294,0,0.0,0.0,0.0,ITALY
QINZHOU,80685.0,609398.74,-86.75990042250497,0.019233838034227915,5.0,44.0,-88.63636363636364,0.043179757329763806,2,16.0,-87.5,0.040257648953301126,3,23.0,-86.95652173913044,0.0423728813559322,0,0.0,0.0,0.0,CHINA
DAMIETTA,80613.6,76358998.14,-99.89442815913824,0.019216817571494526,10.0,172.25,-94.1944847605225,0.08635951465952761,2,44.0,-95.45454545454545,0.040257648953301126,5,90.0,-94.44444444444444,0.07062146892655367,0,16.0,-100.0,0.0,EGYPT
CAI MEP,69731.28,548835.41,-87.2946827537968,0.016622670204367557,6.0,50.0,-88.0,0.051815708795716564,1,12.0,-91.66666666666666,0.020128824476650563,3,25.0,-88.0,0.0423728813559322,0,0.0,0.0,0.0,VIETNAM
CORONEL,68634.0,207403.0,-66.90790393581578,0.016361098588847975,3.0,13.0,-76.92307692307693,0.025907854397858282,1,6.0,-83.33333333333334,0.020128824476650563,3,8.0,-62.5,0.0423728813559322,0,0.0,0.0,0.0,CHILE
PORT OF SPAIN,64528.0,1766175.81,-96.34645658520257,0.015382302790762335,8.0,244.0,-96.72131147540983,0.0690876117276221,2,27.0,-92.5925925925926,0.040257648953301126,4,110.0,-96.36363636363636,0.05649717514124294,0,0.0,0.0,0.0,TRINIDAD AND TOBAGO
